areaCode,areaName,areaType,date,newAdmissions,newCasesByPublishDate,newDeaths28DaysByDeathDate
E92000001,England,nation,4/4/22,,122027,
E92000001,England,nation,4/3/22,,0,2
E92000001,England,nation,4/2/22,1826,0,7
E92000001,England,nation,4/1/22,1846,60220,40
E92000001,England,nation,3/31/22,2124,62816,78
E92000001,England,nation,3/30/22,2355,74419,98
E92000001,England,nation,3/29/22,2219,64935,103
E92000001,England,nation,3/28/22,2280,183459,100
E92000001,England,nation,3/27/22,2037,0,115
E92000001,England,nation,3/26/22,1869,0,111
E92000001,England,nation,3/25/22,1925,63371,107
E92000001,England,nation,3/24/22,2006,79373,112
E92000001,England,nation,3/23/22,2137,85916,113
E92000001,England,nation,3/22/22,2098,74804,118
E92000001,England,nation,3/21/22,1984,188925,87
E92000001,England,nation,3/20/22,1793,0,99
E92000001,England,nation,3/19/22,1813,0,90
E92000001,England,nation,3/18/22,1629,68492,109
E92000001,England,nation,3/17/22,1738,75681,93
E92000001,England,nation,3/16/22,1823,76366,88
E92000001,England,nation,3/15/22,1800,64313,79
E92000001,England,nation,3/14/22,1651,163954,91
E92000001,England,nation,3/13/22,1591,0,85
E92000001,England,nation,3/12/22,1368,0,84
E92000001,England,nation,3/11/22,1412,55883,79
E92000001,England,nation,3/10/22,1414,52722,80
E92000001,England,nation,3/9/22,1521,51378,84
E92000001,England,nation,3/8/22,1389,44918,77
E92000001,England,nation,3/7/22,1278,95324,74
E92000001,England,nation,3/6/22,1260,0,65
E92000001,England,nation,3/5/22,1050,0,77
E92000001,England,nation,3/4/22,1044,31776,67
E92000001,England,nation,3/3/22,1226,32858,87
E92000001,England,nation,3/2/22,1184,32077,83
E92000001,England,nation,3/1/22,1111,26711,74
E92000001,England,nation,2/28/22,1145,60595,74
E92000001,England,nation,2/27/22,949,0,70
E92000001,England,nation,2/26/22,888,0,73
E92000001,England,nation,2/25/22,841,23526,80
E92000001,England,nation,2/24/22,984,28193,92
E92000001,England,nation,2/23/22,976,29703,67
E92000001,England,nation,2/22/22,976,30080,77
E92000001,England,nation,2/21/22,1030,29753,85
E92000001,England,nation,2/20/22,971,23831,110
E92000001,England,nation,2/19/22,834,32230,94
E92000001,England,nation,2/18/22,900,36900,90
E92000001,England,nation,2/17/22,971,40376,103
E92000001,England,nation,2/16/22,1120,42756,118
E92000001,England,nation,2/15/22,1144,36471,121
E92000001,England,nation,2/14/22,1132,31943,130
E92000001,England,nation,2/13/22,1029,32316,123
E92000001,England,nation,2/12/22,989,37791,128
E92000001,England,nation,2/11/22,996,46736,119
E92000001,England,nation,2/10/22,1167,53993,141
E92000001,England,nation,2/9/22,1220,59193,136
E92000001,England,nation,2/8/22,1266,58453,142
E92000001,England,nation,2/7/22,1234,48601,141
E92000001,England,nation,2/6/22,1211,49533,163
E92000001,England,nation,2/5/22,1077,57377,176
E92000001,England,nation,2/4/22,1186,73185,161
E92000001,England,nation,2/3/22,1292,77189,193
E92000001,England,nation,2/2/22,1451,81446,205
E92000001,England,nation,2/1/22,1537,103353,220
E92000001,England,nation,1/31/22,1451,81720,218
E92000001,England,nation,1/30/22,1285,59559,214
E92000001,England,nation,1/29/22,1325,69137,237
E92000001,England,nation,1/28/22,1342,78711,221
E92000001,England,nation,1/27/22,1503,85288,261
E92000001,England,nation,1/26/22,1689,90587,236
E92000001,England,nation,1/25/22,1681,84302,209
E92000001,England,nation,1/24/22,1593,77232,250
E92000001,England,nation,1/23/22,1535,68913,224
E92000001,England,nation,1/22/22,1277,73331,253
E92000001,England,nation,1/21/22,1453,85902,274
E92000001,England,nation,1/20/22,1698,95974,227
E92000001,England,nation,1/19/22,1778,96545,242
E92000001,England,nation,1/18/22,1794,84987,248
E92000001,England,nation,1/17/22,1808,74249,258
E92000001,England,nation,1/16/22,1768,66273,248
E92000001,England,nation,1/15/22,1604,74576,254
E92000001,England,nation,1/14/22,1692,87857,247
E92000001,England,nation,1/13/22,1916,97770,233
E92000001,England,nation,1/12/22,1955,116173,224
E92000001,England,nation,1/11/22,2127,104833,246
E92000001,England,nation,1/10/22,2180,115998,249
E92000001,England,nation,1/9/22,1975,121228,234
E92000001,England,nation,1/8/22,1862,130330,218
E92000001,England,nation,1/7/22,1772,149405,228
E92000001,England,nation,1/6/22,2043,152306,223
E92000001,England,nation,1/5/22,2139,150232,194
E92000001,England,nation,1/4/22,2101,148725,180
E92000001,England,nation,1/3/22,2219,137541,161
E92000001,England,nation,1/2/22,1881,123547,156
E92000001,England,nation,1/1/22,1819,162572,163
E92000001,England,nation,12/31/21,1781,160276,149
E92000001,England,nation,12/30/21,2114,146604,175
E92000001,England,nation,12/29/21,2370,138287,103
E92000001,England,nation,12/28/21,2082,117093,146
E92000001,England,nation,12/27/21,1751,98515,126
E92000001,England,nation,12/26/21,1374,103558,107
E92000001,England,nation,12/25/21,1281,113628,92
E92000001,England,nation,12/24/21,1020,105069,115
E92000001,England,nation,12/23/21,1252,107055,122
E92000001,England,nation,12/22/21,1246,95795,115
E92000001,England,nation,12/21/21,1098,80916,88
E92000001,England,nation,12/20/21,1061,76065,101
E92000001,England,nation,12/19/21,926,71702,90
E92000001,England,nation,12/18/21,735,82426,92
E92000001,England,nation,12/17/21,743,83693,113
E92000001,England,nation,12/16/21,777,77299,89
E92000001,England,nation,12/15/21,805,68868,95
E92000001,England,nation,12/14/21,815,53093,110
E92000001,England,nation,12/13/21,794,44931,92
E92000001,England,nation,12/12/21,772,40713,105
E92000001,England,nation,12/11/21,696,48540,79
E92000001,England,nation,12/10/21,707,48908,93
E92000001,England,nation,12/9/21,799,43550,103
E92000001,England,nation,12/8/21,754,44019,97
E92000001,England,nation,12/7/21,799,38866,94
E92000001,England,nation,12/6/21,736,41525,112
E92000001,England,nation,12/5/21,728,37396,91
E92000001,England,nation,12/4/21,635,39949,118
E92000001,England,nation,12/3/21,624,43888,111
E92000001,England,nation,12/2/21,719,45880,84
E92000001,England,nation,12/1/21,698,41519,104
E92000001,England,nation,11/30/21,699,33590,88
E92000001,England,nation,11/29/21,669,34906,107
E92000001,England,nation,11/28/21,607,32136,91
E92000001,England,nation,11/27/21,609,35798,87
E92000001,England,nation,11/26/21,620,42272,107
E92000001,England,nation,11/25/21,650,40382,111
E92000001,England,nation,11/24/21,752,36511,98
E92000001,England,nation,11/23/21,659,36550,120
E92000001,England,nation,11/22/21,602,36478,93
E92000001,England,nation,11/21/21,648,33513,90
E92000001,England,nation,11/20/21,611,36339,100
E92000001,England,nation,11/19/21,637,37006,104
E92000001,England,nation,11/18/21,697,39315,113
E92000001,England,nation,11/17/21,727,30638,99
E92000001,England,nation,11/16/21,713,30853,130
E92000001,England,nation,11/15/21,695,31440,137
E92000001,England,nation,11/14/21,678,29404,103
E92000001,England,nation,11/13/21,655,33493,110
E92000001,England,nation,11/12/21,729,33155,118
E92000001,England,nation,11/11/21,797,35472,121
E92000001,England,nation,11/10/21,821,31541,118
E92000001,England,nation,11/9/21,808,27872,125
E92000001,England,nation,11/8/21,850,24979,128
E92000001,England,nation,11/7/21,739,23779,135
E92000001,England,nation,11/6/21,688,26250,138
E92000001,England,nation,11/5/21,686,28490,126
E92000001,England,nation,11/4/21,717,30166,120
E92000001,England,nation,11/3/21,807,34317,129
E92000001,England,nation,11/2/21,891,28531,128
E92000001,England,nation,11/1/21,899,32081,137
E92000001,England,nation,10/31/21,860,31479,155
E92000001,England,nation,10/30/21,741,36204,133
E92000001,England,nation,10/29/21,840,36853,130
E92000001,England,nation,10/28/21,888,33903,154
E92000001,England,nation,10/27/21,955,37502,134
E92000001,England,nation,10/26/21,911,32280,131
E92000001,England,nation,10/25/21,865,33309,115
E92000001,England,nation,10/24/21,829,33221,119
E92000001,England,nation,10/23/21,756,41259,132
